"Isolate","Pool","Origin","Geographic Origin"
"ZG02488718","clin_iso_SQ_pool7","Radebeul","Radebeul"
"ZG02512057","clin_iso_SQ_pool7","Radebeul","Radebeul"
"CH5688","clin_iso_SQ_pool7","Charité Berlin","Berlin"
"ZG322541","clin_iso_SQ_pool7","Zwickau","Zwickau"
"CH2922","clin_iso_SQ_pool7","Charité Berlin","Berlin"
"MHH15015","clin_iso_SQ_pool7","Hannover Medical School","Hanover"
"CH2939","clin_iso_SQ_pool7","Charité Berlin","Berlin"
"CH5695","clin_iso_SQ_pool7","Charité Berlin","Berlin"
"CH3173","clin_iso_SQ_pool7","Charité Berlin","Berlin"
"CH3484","clin_iso_SQ_pool8","Charité Berlin","Berlin"
"CH3549","clin_iso_SQ_pool8","Charité Berlin","Berlin"
"CH4548","clin_iso_SQ_pool8","Charité Berlin","Berlin"
"CH5462","clin_iso_SQ_pool8","Charité Berlin","Berlin"
"CH5464","clin_iso_SQ_pool8","Charité Berlin","Berlin"
"CH5478","clin_iso_SQ_pool8","Charité Berlin","Berlin"
"CH2713","clin_iso_SQ_pool8","Charité Berlin","Berlin"
"CH2657","clin_iso_SQ_pool8","Charité Berlin","Berlin"
"CH2691","clin_iso_SQ_pool8","Charité Berlin","Berlin"
"CH2665","clin_iso_SQ_pool8","Charité Berlin","Berlin"
"CH5363","clin_iso_SQ_pool8","Charité Berlin","Berlin"
"CH5387","clin_iso_SQ_pool8","Charité Berlin","Berlin"
"CH5551","clin_iso_SQ_pool8","Charité Berlin","Berlin"
"ZG5048010","clin_iso_SQ_pool8","nd","nd"
"ZG5051896","clin_iso_SQ_pool8","nd","nd"
"ZG5089417","clin_iso_SQ_pool8","nd","nd"
"ZG5089456","clin_iso_SQ_pool8","nd","nd"
"ZG8006959","clin_iso_SQ_pool8","Leipzig","Leipzig"
"ZG8038581181","clin_iso_SQ_pool8","Chemnitz","Chemnitz"
"CH3177","clin_iso_SQ_pool8","Charité Berlin","Berlin"
"CH3325","clin_iso_SQ_pool8","Charité Berlin","Berlin"
"PSAE1656","clin_iso_SQ_pool8","Munich","Munich"
"CH3563","clin_iso_SQ_pool8","Charité Berlin","Berlin"
"CH3570","clin_iso_SQ_pool8","Charité Berlin","Berlin"
"CH2860","clin_iso_SQ_pool8","Charité Berlin","Berlin"
"CH2875","clin_iso_SQ_pool8","Charité Berlin","Berlin"
"CH5193","clin_iso_SQ_pool9","Charité Berlin","Berlin"
"CH4591","clin_iso_SQ_pool9","Charité Berlin","Berlin"
"CH5356","clin_iso_SQ_pool9","Charité Berlin","Berlin"
"ZG5003493","clin_iso_SQ_pool9","Leipzig","Leipzig"
"ZG5021922","clin_iso_SQ_pool9","Leipzig","Leipzig"
"CH4745","clin_iso_SQ_pool9","Charité Berlin","Berlin"
"CH4757","clin_iso_SQ_pool9","Charité Berlin","Berlin"
"PSAE1641","clin_iso_SQ_pool9","Munich","Munich"
"PSAE1742","clin_iso_SQ_pool9","Freiburg","Freiburg"
"PSAE2139","clin_iso_SQ_pool9","Romania","Romania"
"ZG314696","clin_iso_SQ_pool9","Görlitz","Görlitz"
"ZG8510487","clin_iso_SQ_pool9","Leipzig","Leipzig"
"ZG8525123","clin_iso_SQ_pool9","nd","nd"
"MHH14990","clin_iso_SQ_pool9","Hannover Medical School","Hanover"
"CH5638","clin_iso_SQ_pool9","Charité Berlin","Berlin"
"CH5666","clin_iso_SQ_pool9","Charité Berlin","Berlin"
"MHH15083","clin_iso_SQ_pool9","Hannover Medical School","Hanover"
"MHH15103","clin_iso_SQ_pool9","Hannover Medical School","Hanover"
"MHH17233","clin_iso_SQ_pool9","Hannover Medical School","Hanover"
"MHH17247","clin_iso_SQ_pool9","Hannover Medical School","Hanover"
"PSAE1401","clin_iso_SQ_pool9","Stuttgart","Stuttgart"
"PSAE1438","clin_iso_SQ_pool9","Stuttgart","Stuttgart"
"CH3606","clin_iso_SQ_pool9","Charité Berlin","Berlin"
"PSAE1635","clin_iso_SQ_pool9","Munich","Munich"
